Filetype: AmiTool Amiibo DB
Version: 1
AmiiboCount: 949

0000000000000002: 542959|Mario|Mario|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0000000000340102: 546906|Mario|Mario|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
00000000003c0102: 555231|Mario - Gold Edition|Mario|Super Mario Bros.|Super Mario|Figure|au.2015-06-25,na.2015-03-20,eu.None,jp.2015-12-17
00000000003d0102: 564916|Mario - Silver Edition|Mario|Super Mario Bros.|Super Mario|Figure|au.2015-05-30,na.2015-05-29,eu.None,jp.None
0000000002380602: 3330|8-Bit Mario Classic Color|Mario|8-bit Mario|Super Mario|Figure|au.2015-09-12,na.2015-09-11,eu.2015-11-09,jp.2015-09-10
0000000002390602: 7435|8-Bit Mario Modern Color|Mario|8-bit Mario|Super Mario|Figure|au.2015-10-24,na.2015-09-11,eu.2015-10-23,jp.2015-09-10
0000000003710102: 569636|Mario - Wedding|Mario|Super Mario Bros.|Super Mario|Figure|au.2017-10-27,na.2017-10-27,eu.2017-10-27,jp.2017-10-27
00000003039bff02: 563898|Mario - Power Up Band|Mario|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
000000030430ff02: 304355|Golden - Power Up Band|Mario|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2023-03-18
00000004043f1c02: 559951|Mario - My Mario Wooden Blocks|Mario|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0000010000190002: 238793|Dr. Mario|Mario|Super Smash Bros.|Super Mario|Figure|au.2015-07-23,na.2015-09-11,eu.2015-07-17,jp.2015-07-17
0000030003a60102: 551335|Mario - Cat|Mario|Super Mario Bros.|Super Mario|Figure|au.2021-02-12,na.2021-02-12,eu.2021-02-12,jp.2021-02-12
0000040004c10102: 250639|Elephant Mario|Mario|Super Mario Bros.|Super Mario|Figure|au.2026-03-26,na.2026-03-26,eu.2026-03-26,jp.2026-03-26
0000050004e90102: 574013|Mario and Luma|Mario|Super Mario Bros.|Super Mario|Figure|au.2026-04-02,na.2026-04-02,eu.2026-04-02,jp.2026-04-02
00010000000c0002: 505661|Luigi|Luigi|Super Smash Bros.|Super Mario|Figure|au.2014-12-12,na.2014-12-14,eu.2014-12-19,jp.2014-12-06
0001000000350102: 509165|Luigi|Luigi|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
00010003039cff02: 517143|Luigi - Power Up Band|Luigi|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0001000404401c02: 513639|Luigi - My Mario Wooden Blocks|Luigi|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0002000000010002: 662142|Peach|Peach|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0002000000360102: 665694|Peach|Peach|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
0002000003720102: 678960|Peach - Wedding|Peach|Super Mario Bros.|Super Mario|Figure|au.2017-10-27,na.2017-10-27,eu.2017-10-27,jp.2017-10-27
00020003039dff02: 677413|Peach - Power Up Band|Peach|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0002000404411c02: 673861|Peach - My Mario Wooden Blocks|Peach|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0002010003a70102: 669728|Peach - Cat|Peach|Super Mario Bros.|Super Mario|Figure|au.2021-02-12,na.2021-02-12,eu.2021-02-12,jp.2021-02-12
0003000000020002: 950448|Yoshi|Yoshi|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0003000000370102: 953510|Yoshi|Yoshi|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
00030003039fff02: 960604|Yoshi - Power Up Band|Yoshi|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0003000404421c02: 957542|Yoshi - My Mario Wooden Blocks|Yoshi|My Mario Wooden Blocks|Super Mario|Block|au.None,eu.None,jp.2025-08-26,na.None
0003010200410302: 314389|Green Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-06-25,na.2015-10-16,eu.2015-06-26,jp.2015-07-16
0003010200420302: 705439|Pink Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-06-25,na.2015-10-16,eu.2015-06-26,jp.2015-07-16
0003010200430302: 452292|Light Blue Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-06-25,na.2015-10-16,eu.2015-06-26,jp.2015-07-16
00030102023e0302: 587387|Mega Yarn Yoshi|Yoshi|Yoshi's Woolly World|Super Mario|Yarn|au.2015-11-28,na.2015-11-15,eu.2015-11-27,jp.2015-12-10
0004000002620102: 772314|Rosalina|Rosalina|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
0004010000130002: 775235|Rosalina & Luma|Rosalina|Super Smash Bros.|Super Mario|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0004010004ea0102: 779138|Rosalina and Lumas|Rosalina|Super Mario Bros.|Super Mario|Figure|au.2026-04-02,na.2026-04-02,eu.2026-04-02,jp.2026-04-02
0005000000140002: 92869|Bowser|Bowser|Super Smash Bros.|Super Mario|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0005000000390102: 96180|Bowser|Bowser|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
0005000003730102: 100949|Bowser - Wedding|Bowser|Super Mario Bros.|Super Mario|Figure|au.2017-10-27,na.2017-10-27,eu.2017-10-27,jp.2017-10-27
0005ff00023a0702: 328996|Hammer Slam Bowser|Bowser|Skylanders|Super Mario|Figure|au.2015-09-24,na.2015-09-20,eu.2015-09-25,jp.None
0006000000150002: 104730|Bowser Jr.|Bowser Jr.|Super Smash Bros.|Super Mario|Figure|au.2015-07-23,na.2015-09-11,eu.2015-07-17,jp.2015-07-17
00070000001a0002: 933925|Wario|Wario|Super Smash Bros.|Super Mario|Figure|au.2015-04-25,na.2015-05-29,eu.2015-04-24,jp.2015-04-29
0007000002630102: 935964|Wario|Wario|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
0008000000030002: 226158|Donkey Kong|Donkey Kong|Super Smash Bros.|Super Mario|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
0008000002640102: 228856|Donkey Kong|Donkey Kong|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
000800030431ff02: 235191|Donkey Kong - Power Up Band|Donkey Kong|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2024-12-11
00080100042f1a02: 231792|Donkey Kong & Pauline|Donkey Kong|Donkey Kong|Super Mario|Figure|au.2025-07-17,na.2025-07-17,eu.2025-07-17,jp.2025-07-17
0008ff00023b0702: 909396|Turbo Charge Donkey Kong|Donkey Kong|Skylanders|Super Mario|Figure|au.2015-09-24,na.2015-09-20,eu.2015-09-25,jp.None
00090000000d0002: 208016|Diddy Kong|Diddy Kong|Super Smash Bros.|Super Mario|Figure|au.2014-12-12,na.2014-12-14,eu.2014-12-19,jp.2014-12-06
0009000002650102: 210115|Diddy Kong|Diddy Kong|Super Mario Bros.|Super Mario|Figure|au.2016-11-05,na.2016-11-04,eu.2016-11-04,jp.2016-10-20
000900030432ff02: 213184|Diddy Kong - Power Up Band|Diddy Kong|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2024-12-11
000a000000380102: 881536|Toad|Toad|Super Mario Bros.|Super Mario|Figure|au.2015-03-21,na.2015-03-20,eu.2015-03-20,jp.2015-03-12
000a000303a0ff02: 884559|Toad - Power Up Band|Toad|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
000a010004c20102: 131434|Captain Toad & Talking Flower|Toad|Super Mario Bros.|Super Mario|Figure|au.2026-03-26,na.2026-03-26,eu.2026-03-26,jp.2026-03-26
0013000002660102: 191255|Daisy|Daisy|Super Mario Bros.|Super Mario|Figure|au.2016-11-05,na.2016-11-04,eu.2016-11-04,jp.2016-10-20
00130000037a0002: 192781|Daisy|Daisy|Super Smash Bros.|Super Mario|Figure|au.2019-04-12,na.2019-04-12,eu.2019-04-12,jp.2019-04-12
00130003039eff02: 195963|Daisy - Power Up Band|Daisy|Super Nintendo World|Super Mario|Band|au.None,na.None,eu.None,jp.2021-02-04
0014000002670102: 930971|Waluigi|Waluigi|Super Mario Bros.|Super Mario|Figure|au.2016-11-05,na.2016-11-04,eu.2016-11-04,jp.2016-10-20
0015000003670102: 308587|Goomba|Goomba|Super Mario Bros.|Super Mario|Figure|au.2017-10-07,na.2017-10-06,eu.2017-10-06,jp.2017-10-05
0017000002680102: 84940|Boo|Boo|Super Mario Bros.|Super Mario|Figure|au.2016-10-08,na.2016-11-04,eu.2016-10-07,jp.2016-10-20
0023000003680102: 442639|Koopa Troopa|Koopa Troopa|Super Mario Bros.|Super Mario|Figure|au.2017-10-07,na.2017-10-06,eu.2017-10-06,jp.2017-10-05
00240000038d0002: 711753|Piranha Plant|Piranha Plant|Super Smash Bros.|Super Mario|Figure|au.2019-02-15,na.2019-02-15,eu.2019-02-15,jp.2019-02-15
0025010004c30102: 717839|Poplin & Prince Florian|Poplin|Super Mario Bros.|Super Mario|Figure|au.2026-03-26,na.2026-03-26,eu.2026-03-26,jp.2026-03-26
00800102035d0302: 717250|Poochy|Poochy|Yoshi's Woolly World|Yoshi's Woolly World|Yarn|au.2017-02-04,na.2017-02-03,eu.2017-02-03,jp.2017-01-19
00c00000037b0002: 430675|King K. Rool|King K. Rool|Super Smash Bros.|Donkey Kong|Figure|au.2019-02-15,na.2019-02-15,eu.2019-02-15,jp.2019-02-15
0100000000040002: 458098|Link|Link|Super Smash Bros.|The Legend of Zelda|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
01000000034b0902: 471396|Link - Ocarina of Time|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
01000000034c0902: 468123|Link - Majora's Mask|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-06-24,na.2017-06-23,eu.2017-06-23,jp.2017-06-23
01000000034d0902: 484490|Link - Twilight Princess|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-06-24,na.2017-06-23,eu.2017-06-23,jp.2017-06-23
01000000034e0902: 477944|Link - Skyward Sword|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-06-24,na.2017-06-23,eu.2017-06-23,jp.2017-06-23
01000000034f0902: 56|8-Bit Link|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
0100000003530902: 461469|Link - Archer|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
0100000003540902: 474670|Link - Rider|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
01000000037c0002: 962008|Young Link|Link|Super Smash Bros.|The Legend of Zelda|Figure|au.2019-04-12,na.2019-04-12,eu.2019-04-12,jp.2019-04-12
0100000003990902: 464742|Link - Link's Awakening|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2019-09-20,na.2019-09-20,eu.2019-09-20,jp.2019-09-20
0100000004180902: 481217|Link - Tears of the Kingdom|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2023-05-12,na.2023-05-12,eu.2023-05-12,jp.2023-05-12
0100010000160002: 895680|Toon Link|Link|Super Smash Bros.|The Legend of Zelda|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0100010003500902: 898817|Toon Link - The Wind Waker|Link|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
01010000000e0002: 967507|Zelda|Zelda|Super Smash Bros.|The Legend of Zelda|Figure|au.2014-12-12,na.2014-12-14,eu.2014-12-19,jp.2014-12-06
0101000003520902: 902012|Toon Zelda - The Wind Waker|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-12-03,na.2016-12-02,eu.2016-12-02,jp.2016-12-01
0101000003560902: 970437|Zelda|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
0101000004190902: 973425|Zelda - Tears of the Kingdom|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2023-11-03,na.2023-11-03,eu.2023-11-03,jp.2023-11-03
0101010000170002: 818537|Sheik|Zelda|Super Smash Bros.|The Legend of Zelda|Figure|au.2015-01-29,na.2015-02-01,eu.2015-01-23,jp.2015-01-22
0101030004140902: 976413|Zelda and Loftwing|Zelda|Legend Of Zelda|The Legend of Zelda|Figure|au.2021-07-16,na.2021-07-16,eu.2021-07-16,jp.2021-07-16
01020100001b0002: 291838|Ganondorf|Ganon|Super Smash Bros.|The Legend of Zelda|Figure|au.2015-07-04,na.2015-09-11,eu.2015-06-26,jp.2015-06-11
01020100041a0902: 294582|Ganondorf - Tears of the Kingdom|Ganon|Legend Of Zelda|The Legend of Zelda|Figure|au.2023-11-03,na.2023-11-03,eu.2023-11-03,jp.2023-11-03
01030000024f0902: 602392|Midna & Wolf Link|Midna|Legend Of Zelda|The Legend of Zelda|Figure|au.2016-03-05,na.2016-03-04,eu.2016-03-04,jp.2016-03-10
0105000003580902: 198785|Daruk|Daruk|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
0106000003590902: 915133|Urbosa|Urbosa|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
01070000035a0902: 608430|Mipha|Mipha|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
01080000035b0902: 749047|Revali|Revali|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-11-10,na.2017-11-10,eu.2017-11-10,jp.2017-11-10
0109000004a30902: 755275|Riju|Riju|Legend Of Zelda|The Legend of Zelda|Figure|au.2025-06-05,eu.2025-06-05,jp.2025-06-05,na.2025-06-05
010a000004a40902: 831740|Sidon|Sidon|Legend Of Zelda|The Legend of Zelda|Figure|au.2025-06-05,eu.2025-06-05,jp.2025-06-05,na.2025-06-05
010b000004a50902: 908682|Tulin|Tulin|Legend Of Zelda|The Legend of Zelda|Figure|au.2025-06-05,eu.2025-06-05,jp.2025-06-05,na.2025-06-05
010c000004a60902: 966487|Yunobo|Yunobo|Legend Of Zelda|The Legend of Zelda|Figure|au.2025-06-05,eu.2025-06-05,jp.2025-06-05,na.2025-06-05
010d000004a70902: 606922|Mineru's Construct|Mineru's Construct|Legend Of Zelda|The Legend of Zelda|Figure|au.2025-06-05,eu.2025-06-05,jp.2025-06-05,na.2025-06-05
0140000003550902: 322710|Guardian|Guardian|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
01410000035c0902: 80993|Bokoblin|Bokoblin|Legend Of Zelda|The Legend of Zelda|Figure|au.2017-03-03,na.2017-03-03,eu.2017-03-03,jp.2017-03-03
0180000000080002: 922054|Villager|Villager|Super Smash Bros.|Animal Crossing|Figure|au.2014-11-29,na.2014-11-21,eu.2014-11-28,jp.2014-12-06
01810000024b0502: 378904|Isabelle - Summer Outfit|Isabelle|Animal Crossing|Animal Crossing|Figure|au.2016-03-19,na.2016-06-10,eu.2016-03-18,jp.2016-03-24
01810000037d0002: 370851|Isabelle|Isabelle|Super Smash Bros.|Animal Crossing|Figure|au.2019-07-19,na.2019-07-26,eu.2019-07-19,jp.2019-07-19
0181000100440502: 372119|Isabelle|Isabelle|Animal Crossing|Animal Crossing|Card|au.2015-10-03,na.2015-09-25,eu.2015-10-02,jp.2015-07-30
0181000101d40502: 374833|Isabelle - Character Parfait|Isabelle|Animal Crossing|Animal Crossing|Card|au.None,na.None,eu.None,jp.2015-08-01
01810100023f0502: 383307|Isabelle - Winter Outfit|Isabelle|Animal Crossing|Animal Crossing|Figure|au.2015-11-21,na.2015-11-13,eu.2015-11-20,jp.2015-11-21
0181010100b40502: 381950|Isabelle - Winter|Isabelle|Animal Crossing|Animal Crossing|Card|au.2015-11-21,na.2016-01-22,eu.2015-11-20,jp.2015-10-29
01810201011a0502: 377547|Isabelle - Kimono|Isabelle|Animal Crossing|Animal Crossing|Card|au.2016-03-19,na.2016-03-18,eu.2016-03-18,jp.2016-01-14
0181030101700502: 376190|Isabelle - Dress|Isabelle|Animal Crossing|Animal Crossing|Card|au.2016-06-18,na.2016-06-10,eu.2016-06-17,jp.2016-03-24
0181040103aa0502: 373476|Isabelle|Isabelle|Animal Crossing|Animal Crossing|Card|au.2021-11-05,na.2021-11-05,eu.2021-11-05,jp.2021-11-05
0181050103bf0502: 380593|Isabelle - Sweater|Isabelle|Animal Crossing|Animal Crossing|Card|au.2021-11-05,na.2021-11-05,eu.2021-11-05,jp.2021-11-05
0182000002400502: 401295|K. K. Slider|K.K. Slider|Animal Crossing|Animal Crossing|Figure|au.2015-11-21,na.2015-11-13,eu.2015-11-20,jp.2015-11-21
