Filetype: AmiTool Amiibo DB
Version: 1
game_switch2_mapping: 12

Pragmata~ 1    3580000005062102
Resident Evil Requiem~ 2    3540000005032002|3541000005042002
Star Fox~ 3    05810000001c0002|0580000000050002|05840000037e0002
Monster Hunter Stories 3: Twisted Reflection~ 3    350c000004fa0f02|350d000004fb0f02|350e000004fc0f02
Xenoblade Chronicles: Definitive Edition – Nintendo Switch 2 Edition~ 5    22440000043e1b02|22420000041f0002|22430000043d1b02|22410000041e0002|22400000002b0002
Yoshi and the Mysterious Book~ 10   0006000000150002|0003010200410302|0003010200430302|00030102023e0302|0003010200420302|00800102035d0302|0003000000020002|0003000000370102|0003000404421c02|00030003039fff02
Donkey Kong Bananza~ 9    00090000000d0002|0009000002650102|000900030432ff02|0008000000030002|0008000002640102|00080100042f1a02|000800030431ff02|00c00000037b0002|0008ff00023b0702
Kirby Air Riders~ 12   1f03010004c91e03|1f04000004ca1e03|1f02000000280002|1f02000002560c02|1f02000004c71e03|1f000000000a0002|1f00000002540c02|1f00000004c41e03|1f01000000270002|1f01000002550c02|1f01000004c61e03|1f03000002570c02
Splatoon Raiders~ 30   0809000004350402|0809000004f90402|08010000025d0402|0801000004360402|0808000004340402|0808000004f80402|0800010003820002|0800010004150402|08000200003f0402|08000200036a0402|0800020002600402|08000100003e0402|08000100025f0402|0800010003690402|0800030000400402|08000300036b0402|0800030002610402|08020000025e0402|0802000004370402|0804000003770402|0804000004390402|08050200041b0402|08050200038f0402|08050100038e0402|0805030003900402|0803000003760402|0803000004380402|0807000004330402|0807000004f70402|08060100041c0402
Hyrule Warriors: Age of Imprisonment~ 32   01000000034f0902|01410000035c0902|0105000003580902|01020100001b0002|01020100041a0902|0140000003550902|0100000000040002|0100000003530902|0100000003990902|01000000034c0902|01000000034b0902|0100000003540902|01000000034e0902|0100000004180902|01000000034d0902|01030000024f0902|01070000035a0902|01080000035b0902|0109000004a30902|0101010000170002|010a000004a40902|0100010000160002|0100010003500902|0101000003520902|010b000004a50902|0106000003590902|01000000037c0002|010c000004a60902|01010000000e0002|0101000003560902|0101000004190902|0101030004140902
Mario Tennis Fever~ 54   0000000002380602|0000000002390602|0005000000140002|0005000000390102|0005000003730102|0006000000150002|000a010004c20102|0013000002660102|00130000037a0002|00130003039eff02|0008000000030002|0008000002640102|00080100042f1a02|000800030431ff02|0000010000190002|0000040004c10102|000000030430ff02|0003010200410302|0005ff00023a0702|0003010200430302|00010000000c0002|0001000000350102|0001000404401c02|00010003039cff02|0000000000000002|0000000000340102|0000030003a60102|00000000003c0102|00000004043f1c02|00000003039bff02|00000000003d0102|0000000003710102|0000050004e90102|00030102023e0302|0002000000010002|0002000000360102|0002010003a70102|0002000404411c02|00020003039dff02|0002000003720102|0003010200420302|0004000002620102|0004010000130002|0004010004ea0102|000a000000380102|000a000303a0ff02|0008ff00023b0702|0014000002670102|00070000001a0002|0007000002630102|0003000000020002|0003000000370102|0003000404421c02|00030003039fff02
Street Fighter 6~ 66   34d3000104be1d02|34d3000104de1d02|34d5000104c01d02|34d5000104e01d02|34db000104e61d02|34db000104ef1d02|34c8000104b31d02|34c8000104d31d02|34da000104e51d02|34da000104ee1d02|34d1000104bc1d02|34d1000104dc1d02|34c5000104b01d02|34c5000104d01d02|34cb000104b61d02|34cb000104d61d02|34c9000104b41d02|34c9000104d41d02|34ca000104b51d02|34ca000104d51d02|34d4000104bf1d02|34d4000104df1d02|34d8000104e31d02|34d8000104ec1d02|34c6000104b11d02|34c6000104d11d02|34dc000104e71d02|34dc000104f01d02|34c3000004ac1d02|34c3000104ad1d02|34c3000104ce1d02|34ce000104b91d02|34ce000104d91d02|34c7000104b21d02|34c7000104d21d02|34c1000003890002|34c1000104a91d02|34c1000104cc1d02|34c4000004ae1d02|34c4000104af1d02|34c4000104cf1d02|34d0000104bb1d02|34d0000104db1d02|34c2000004aa1d02|34c2000104ab1d02|34c2000104cd1d02|34d6000104e11d02|34d6000104eb1d02|3c81000104f21d02|3c81000104f31d02|34cc000104b71d02|34cc000104d71d02|34cd000104b81d02|34cd000104d81d02|34d2000104bd1d02|34d2000104dd1d02|34c0000002530002|34c0000104a81d02|34c0000104cb1d02|34d9000104e41d02|34d9000104ed1d02|3c80000104e81d02|3c80000104f11d02|3c80000003a40002|34cf000104ba1d02|34cf000104da1d02
